,online_order,book_table,rate,votes,location,rest_type,cuisines,cost,Target
156,1,0,4.1,70,4,6,61,150.0,1
157,1,1,4.1,364,18,2,66,1.2,1
158,1,0,3.7,107,4,8,66,150.0,0
159,1,0,3.2,167,42,6,66,300.0,0
160,1,0,4.0,115,1,8,42,400.0,1
161,1,0,3.7,27,1,7,38,400.0,0
162,1,0,3.5,57,1,6,9,200.0,0
163,1,0,3.8,120,1,6,66,250.0,1
164,1,0,3.8,15,4,0,3,400.0,1
165,1,0,4.2,64,4,6,66,500.0,1
166,1,0,3.6,66,1,6,59,150.0,0
167,1,0,3.0,290,1,6,66,450.0,0
168,1,0,4.1,233,4,6,65,200.0,1
169,1,0,3.8,115,42,6,66,250.0,1
170,1,0,3.1,119,1,2,66,700.0,0
171,1,1,3.9,291,18,1,66,650.0,1
172,1,0,4.5,155,18,8,66,300.0,1
173,1,0,4.1,305,42,2,66,700.0,1
174,1,0,3.6,46,1,6,66,500.0,0
175,1,0,3.5,45,42,6,66,350.0,0
176,1,0,3.9,38,1,5,36,150.0,1
177,1,0,3.9,441,1,6,66,400.0,1
178,1,0,3.9,25,4,6,59,100.0,1
179,1,0,4.3,630,18,6,66,200.0,1
180,1,0,3.8,25,42,6,59,150.0,1
181,1,0,3.9,160,42,6,2,300.0,1
182,1,0,4.2,287,1,6,43,350.0,1
183,1,0,3.6,11,4,6,59,100.0,0
184,1,0,4.1,402,1,1,16,500.0,1
185,1,0,3.8,469,4,2,66,750.0,1
186,1,0,3.3,511,42,2,66,550.0,0
187,1,0,3.9,57,1,6,64,200.0,1
188,1,0,3.4,14,1,6,59,300.0,0
189,1,0,3.9,264,1,6,59,200.0,1
190,1,0,3.0,62,1,1,66,400.0,0
191,1,0,3.8,693,1,2,58,750.0,1
192,1,0,3.8,242,18,2,66,650.0,1
193,1,0,3.6,27,4,5,31,250.0,0
194,1,0,4.1,163,4,6,66,500.0,1
195,1,0,4.2,191,4,6,66,250.0,1
196,1,0,3.5,32,1,6,66,150.0,0
197,1,0,2.5,247,1,2,43,500.0,0
198,1,1,4.1,2339,18,2,66,1.5,1
199,1,0,4.1,337,18,6,66,300.0,1
200,1,0,3.9,135,1,2,47,800.0,1
201,1,0,3.6,172,42,2,45,700.0,0
202,1,0,3.6,105,1,2,66,700.0,0
203,1,0,4.2,504,1,1,66,550.0,1
204,1,0,3.2,36,42,6,66,200.0,0
205,1,0,3.1,39,42,6,43,300.0,0
206,1,0,3.1,5,42,2,66,500.0,0
208,1,1,4.3,1129,18,2,66,1.3,1
209,1,0,3.9,56,42,6,45,350.0,1
210,1,0,4.3,860,1,5,30,500.0,1
211,1,0,3.8,412,18,2,66,700.0,1
212,1,1,3.9,142,18,2,66,1.0,1
213,1,0,3.0,23,18,6,0,400.0,0
214,1,0,3.6,143,18,2,66,750.0,0
215,1,1,2.8,80,18,2,66,500.0,0
216,1,0,3.6,16,17,2,59,400.0,0
217,1,0,4.4,181,18,8,66,250.0,1
218,1,0,3.8,70,18,6,56,200.0,1
219,1,0,3.8,164,4,6,66,600.0,1
220,1,0,3.6,58,42,6,66,650.0,0
221,0,0,3.8,148,4,8,66,550.0,1
222,0,0,3.9,206,4,6,66,450.0,1
225,0,0,3.6,16,42,6,59,300.0,0
226,0,0,3.7,217,4,2,66,450.0,0
227,0,0,3.6,46,4,6,66,450.0,0
228,0,0,3.8,148,4,6,66,150.0,1
229,0,0,3.4,30,4,5,27,250.0,0
230,0,0,3.6,8,42,2,66,800.0,0
231,0,0,3.3,4,18,6,59,250.0,0
232,0,0,3.5,15,4,8,3,400.0,0
236,1,0,3.4,9,42,6,65,200.0,0
238,1,0,3.7,31,42,6,62,300.0,0
239,1,0,2.9,177,18,2,66,700.0,0
240,1,0,3.7,22,4,8,66,250.0,0
241,1,0,3.5,10,42,8,66,100.0,0
242,1,0,3.7,136,1,6,66,600.0,0
243,1,0,2.9,35,42,6,45,250.0,0
244,1,0,4.1,185,18,6,66,200.0,1
245,1,0,3.2,17,18,1,20,900.0,0
246,1,0,3.8,155,42,2,64,400.0,1
247,1,0,3.8,42,1,6,63,300.0,1
248,1,0,3.8,286,4,2,43,600.0,1
249,1,0,3.8,160,1,2,45,700.0,1
250,1,0,3.8,59,1,2,45,750.0,1
251,1,0,3.5,90,18,2,66,500.0,0
252,1,0,3.7,51,42,6,66,350.0,0
253,1,0,4.0,89,18,6,66,200.0,1
254,1,0,3.6,18,1,6,34,250.0,0
255,1,0,3.9,40,4,2,66,600.0,1
256,1,0,2.5,35,4,6,31,200.0,0
257,1,0,3.4,89,18,6,66,250.0,0
258,1,0,3.2,11,4,6,8,150.0,0
259,1,0,3.6,62,1,8,66,600.0,0
260,1,0,3.9,33,18,5,27,300.0,1
261,1,0,3.8,32,18,8,66,250.0,1
262,1,0,4.1,139,18,2,49,550.0,1
263,1,0,3.2,154,42,6,31,300.0,0
264,1,0,3.6,14,1,0,4,350.0,0
265,1,0,3.7,237,1,6,66,200.0,0
266,1,0,3.9,388,1,2,66,650.0,1
267,1,0,3.9,128,42,2,66,500.0,1
268,1,1,4.1,1875,18,2,66,1.2,1
269,1,0,3.8,90,1,1,16,650.0,1
270,1,0,3.1,7,42,6,66,250.0,0
271,1,0,3.7,38,42,2,62,400.0,0
272,1,0,4.2,179,1,4,57,600.0,1
273,1,0,4.0,43,4,5,30,250.0,1
274,1,0,4.3,275,4,6,59,100.0,1
275,1,0,3.7,323,18,2,25,850.0,0
276,1,0,3.1,28,42,2,63,400.0,0
277,1,0,3.9,18,4,6,66,200.0,1
278,1,0,3.3,6,4,6,66,100.0,0
280,1,0,4.3,322,18,2,59,400.0,1
281,1,0,2.6,157,18,1,66,450.0,0
282,1,0,3.9,543,4,6,66,300.0,1
283,1,0,3.7,180,1,1,66,500.0,0
284,1,0,4.2,444,4,6,59,100.0,1
285,1,0,3.9,134,18,6,66,400.0,1
286,1,0,3.8,577,18,2,66,900.0,1
287,1,0,4.2,60,1,6,64,200.0,1
288,1,0,3.9,144,18,2,66,550.0,1
289,1,0,4.1,787,1,2,66,800.0,1
290,1,0,3.6,16,4,6,59,200.0,0
291,1,0,3.6,84,1,6,63,250.0,0
292,1,0,3.6,95,1,6,66,150.0,0
293,1,1,4.0,349,1,2,66,1.2,1
294,1,0,3.7,248,42,6,51,400.0,0
295,1,0,4.1,216,4,1,66,500.0,1
297,1,0,4.0,324,1,1,66,700.0,1
298,1,0,2.6,231,42,6,66,400.0,0
299,1,0,3.4,102,42,2,66,400.0,0
300,1,0,3.9,133,1,1,66,800.0,1
301,1,0,2.8,45,1,2,66,800.0,0
302,1,0,3.9,149,42,6,66,300.0,1
303,1,0,3.8,75,1,6,66,200.0,1
304,1,0,4.0,53,42,4,66,600.0,1
305,1,1,4.2,815,18,2,45,900.0,1
306,1,1,4.0,633,1,2,45,800.0,1
307,1,0,3.5,56,18,5,66,400.0,0
308,1,0,3.0,82,1,6,64,300.0,0
309,1,0,3.7,35,18,6,31,200.0,0
310,1,0,3.6,20,4,6,66,150.0,0
311,1,0,3.1,14,42,6,66,250.0,0
312,1,0,3.9,70,1,5,66,400.0,1
313,1,0,3.9,91,18,1,66,300.0,1
314,1,0,3.6,45,18,6,9,200.0,0
315,1,0,3.4,7,1,6,45,250.0,0
316,1,0,3.8,28,1,6,31,150.0,1
317,1,0,3.6,24,1,2,45,600.0,0
318,1,0,3.8,36,4,5,66,200.0,1
319,1,0,3.5,11,18,6,31,200.0,0
320,1,0,3.8,77,42,1,66,650.0,1
321,1,0,3.2,8,1,8,42,100.0,0
322,1,0,3.7,14,18,6,59,100.0,0
323,1,0,3.8,210,42,2,48,600.0,1
324,1,0,4.1,130,18,1,66,650.0,1
325,1,0,4.1,30,18,8,66,100.0,1
326,1,0,3.8,144,1,1,66,700.0,1
327,1,0,3.4,11,4,8,66,800.0,0
328,1,0,3.7,133,18,2,66,700.0,0
329,1,0,4.0,136,18,6,66,350.0,1
330,1,0,3.1,4,4,6,63,200.0,0
331,1,0,3.5,11,4,8,66,200.0,0
332,1,0,3.8,74,4,6,63,300.0,1
333,1,0,3.7,30,4,6,66,300.0,0
334,1,0,3.0,7,4,6,66,200.0,0
335,1,0,3.8,75,1,8,66,200.0,1
336,1,0,3.7,54,4,1,66,600.0,0
337,1,0,3.6,23,4,8,7,100.0,0
338,1,0,3.2,119,1,2,45,400.0,0
339,1,0,3.7,73,1,6,10,400.0,0
340,1,0,3.4,58,4,1,20,400.0,0
341,1,0,3.6,129,1,2,66,600.0,0
342,1,0,3.6,24,1,6,66,250.0,0
343,1,0,3.0,175,42,6,23,400.0,0
344,1,0,3.7,21,42,6,59,300.0,0
345,1,0,3.5,41,42,8,66,400.0,0
346,1,0,3.6,35,18,6,66,300.0,0
347,1,0,4.1,176,4,2,66,800.0,1
348,1,0,3.5,45,1,8,66,300.0,0
349,1,0,3.7,47,18,8,66,400.0,0
350,1,1,3.7,36,18,2,66,650.0,0
351,1,0,3.8,52,42,8,8,400.0,1
352,1,0,2.7,123,1,6,31,200.0,0
353,1,0,3.6,59,42,2,43,700.0,0
354,1,0,3.2,4,42,6,60,300.0,0
355,1,0,3.8,101,1,6,10,400.0,1
356,1,0,3.7,54,1,8,66,400.0,0
358,1,0,3.6,22,4,6,31,200.0,0
359,1,0,3.1,31,1,8,66,250.0,0
360,1,0,3.0,29,42,1,66,500.0,0
361,1,0,3.4,6,18,8,6,100.0,0
362,1,0,3.0,22,4,6,63,250.0,0
363,1,0,2.9,11,1,6,43,500.0,0
364,1,0,3.9,101,4,6,59,150.0,1
365,1,1,4.1,442,18,8,66,1.2,1
366,1,0,3.5,155,4,6,10,400.0,0
367,1,0,3.4,12,1,8,66,150.0,0
368,1,0,3.6,15,4,6,59,100.0,0
369,1,0,3.5,10,4,6,59,200.0,0
370,1,0,3.8,25,1,6,59,300.0,1
371,1,0,3.8,61,1,6,45,300.0,1
372,1,0,3.7,23,42,6,66,300.0,0
373,1,0,3.8,25,4,6,66,350.0,1
374,1,0,3.7,40,42,6,66,200.0,0
375,1,0,3.3,4,4,6,66,100.0,0
376,1,0,3.4,8,4,6,66,150.0,0
377,1,0,3.5,32,42,6,45,300.0,0
378,1,0,3.3,10,4,6,59,200.0,0
379,1,0,3.4,6,4,6,34,300.0,0
380,1,0,3.8,53,18,6,66,250.0,1
